Organisation,GitHub Profile,type,industry,size
3M,https://github.com/3mcloud,non-software,manufacturing,huge
Ahold Delhaize,https://github.com/RoyalAholdDelhaize,non-software,retail,huge
Adobe,https://github.com/adobe,software,software,large
Avalia,https://github.com/AvaliaSystems,software,consulting,small
Microsoft,https://github.com/microsoft,software,software,huge
Alliander,https://github.com/alliander-opensource,non-software,energy,medium
American Airlines,https://github.com/AmericanAirlines,non-software,transport,huge
ASOS,https://github.com/asos,non-software,retail,medium
Autodesk,https://github.com/autodesk,software,software,large
AXA,https://github.com/axa-group,non-software,insurance,huge
Baidu,https://github.com/baidu,software,tech,large
BBC,https://github.com/bbc,non-software,media,large
BBVA,https://github.com/BBVA,non-software,banking,huge
Bitergia,https://github.com/bitergia,software,software,small
Bloomberg,https://github.com/bloomberg,non-software,financial services,large
Bosch,https://github.com/boschresearch,non-software,manufacturing,huge
BuzzFeed,https://github.com/buzzfeed,non-software,media,small
Capital One,https://github.com/capitalone,non-software,banking,large
CA Technologies,https://github.com/catechnologies,software,software,large
Capillary Technologies ,https://github.com/Capillary,software,software,medium
Comcast,https://github.com/Comcast,non-software,telecom,huge
Commonwealth Bank Australia,https://github.com/commbankoss,non-software,banking,large
Continental,https://github.com/continental,non-software,automotive,huge
Daimler,https://github.com/daimlertruck,non-software,automotive,huge
Decathlon,https://github.com/decathlon,non-software,retail,huge
Deliveroo,https://github.com/deliveroo,software,tech,medium
Deutsche Bank,https://github.com/deutschebank,non-software,banking,large
DiDi,https://github.com/didi,software,tech,large
Disney,https://github.com/disney,non-software,media,huge
Dow Jones,https://github.com/dowjones,non-software,media,medium
DXC Technology,https://github.com/dxc-technology,software,IT services,huge
Elbit Systems,https://github.com/ElbitSystems,non-software,defense,large
ENGIE Digital,https://github.com/engie-group,non-software,energy,huge
Ericsson,https://github.com/ericsson,non-software,telecom,huge
Etsy,https://github.com/etsy,software,tech,medium
Europace,https://github.com/europace,software,fintech,small
Fannie Mae,https://github.com/FannieMaeOpenSource,non-software,financial services,medium
Fidelity Investments,https://github.com/fidelity,non-software,financial services,large
Ford,https://github.com/ford,non-software,automotive,huge
GitHub,https://github.com/github,software,software,medium
GitLab,https://github.com/gitlabhq,software,software,medium
Globant,https://github.com/globant,software,IT services,large
HERE Global B.V,https://github.com/heremaps,software,tech,medium
Huawei,https://github.com/huawei,software,tech,huge
IBM,https://github.com/ibm,software,tech,huge
