Organisation,GitHub Profile
Microsoft,https://github.com/Azure
Microsoft,https://github.com/dotnet
Microsoft,https://github.com/MicrosoftDocs
Microsoft,https://github.com/azure-samples
Microsoft,https://github.com/OfficeDev
Microsoft,https://github.com/MicrosoftGraph
Microsoft,https://github.com/NuGet
Microsoft,https://github.com/PowerShell
Microsoft,https://github.com/mono
Microsoft,https://github.com/xamarin
Microsoft,https://github.com/aspnet
Microsoft,https://github.com/electron
IBM,https://github.com/terraform-ibm-modules
IBM,https://github.com/ibm-cloud
IBM,https://github.com/OpenLiberty
IBM,https://github.com/carbon-design-system
Adobe,https://github.com/adobedocs
SAP,https://github.com/sap-samples
